fold,train_start,train_end,test_start,test_end,train_n,test_n,thr_train_p90,base_rate,selected_rate,selected_n,auc,p_at_10,lift_p10,ic
40,1998-10-16,2011-10-21,2011-10-24,2012-04-24,90373,4032,0.3879025232416179,0.3705357142857143,0.09623015873015874,388,0.5680776692269471,0.44329896907216493,1.1963731213513848,0.04699793688260086
41,1998-10-16,2012-01-24,2012-01-25,2012-07-24,92389,4032,0.3726305538820538,0.34523809523809523,0.08606150793650794,347,0.5217735000870776,0.37752161383285304,1.0935108814468848,0.0808649107477036
42,1998-10-16,2012-04-24,2012-04-25,2012-10-22,94405,4032,0.3730242041931375,0.31274801587301587,0.08953373015873016,361,0.5220280227609452,0.4182825484764543,1.3374426926701537,0.10918986911816521
43,1998-10-16,2012-07-24,2012-07-25,2013-01-25,96421,4032,0.37161160269407906,0.26884920634920634,0.09945436507936507,401,0.5490599355620422,0.4763092269326683,1.771659412354722,0.22175165210091272
44,1998-10-16,2012-10-22,2012-10-23,2013-04-26,98437,4068,0.37040748803792073,0.2667158308751229,0.1172566371681416,477,0.5174259359102502,0.27882599580712786,1.0454047474132684,0.16278482316261955
45,1998-10-16,2013-01-25,2013-01-28,2013-07-26,100453,4131,0.367642435579528,0.2757201646090535,0.048656499636891795,201,0.4683946479461765,0.4129353233830846,1.4976609489864112,0.04592298773108617
46,1998-10-16,2013-04-26,2013-04-29,2013-10-24,102505,4158,0.3663441406597966,0.2727272727272727,0.06421356421356421,267,0.5195608850536099,0.5393258426966292,1.9775280898876406,0.016738822332244975
47,1998-10-16,2013-07-26,2013-07-29,2014-01-27,104584,4158,0.3641981816299891,0.3116883116883117,0.10341510341510342,430,0.5802829056344954,0.4441860465116279,1.4250968992248063,0.021233615521690657
48,1998-10-16,2013-10-24,2013-10-25,2014-04-28,106663,4158,0.3800502607167977,0.3569023569023569,0.09932659932659933,413,0.5448066587101106,0.41404358353510895,1.1601032482068618,0.03581874860824874
49,1998-10-16,2014-01-27,2014-01-28,2014-07-28,108742,4158,0.36250031179261455,0.32635882635882635,0.0913900913900914,380,0.4562105017236448,0.3263157894736842,0.999868130163286,-0.03697871918045375
50,1998-10-16,2014-04-28,2014-04-29,2014-10-24,110821,4158,0.3629299793865993,0.29413179413179413,0.08585858585858586,357,0.5401825599908623,0.41456582633053224,1.4094560146217114,-0.013612870966736548
51,1998-10-16,2014-07-28,2014-07-29,2015-01-27,112900,4158,0.36099613977715833,0.2845117845117845,0.08345358345358346,347,0.5196560517698203,0.3285302593659942,1.1547158228603585,-0.04245161761151295
52,1998-10-16,2014-10-24,2014-10-27,2015-04-28,114979,4158,0.36057111800454317,0.2982202982202982,0.06565656565656566,273,0.48698954210793954,0.32234432234432236,1.0808933002481391,-0.015191008164424194
53,1998-10-16,2015-01-27,2015-01-28,2015-07-28,117058,4158,0.39223258905026714,0.3797498797498797,0.045454545454545456,189,0.520073959276968,0.48148148148148145,1.2678910702976567,-0.08918947208399071
54,1998-10-16,2015-04-28,2015-04-29,2015-10-26,119137,4158,0.4076333616576471,0.36796536796536794,0.06926406926406926,288,0.5711564001551913,0.5451388888888888,1.4814950980392156,-0.08274053290919736
55,1998-10-16,2015-07-28,2015-07-29,2016-01-27,121216,4158,0.399331692152962,0.3617123617123617,0.09908609908609908,412,0.5622824189501194,0.5097087378640777,1.4091548750258212,0.06153000185361735
56,1998-10-16,2015-10-26,2015-10-27,2016-04-27,123295,4158,0.35878940044398383,0.335016835016835,0.09740259740259741,405,0.5183489132565435,0.4617283950617284,1.3782244556113905,0.07066970270186643
57,1998-10-16,2016-01-27,2016-01-28,2016-07-27,125374,4158,0.3593487712247957,0.29124579124579125,0.1091871091871092,454,0.5149330996798098,0.44933920704845814,1.5428178554149372,0.07924768258452239
58,1998-10-16,2016-04-27,2016-04-28,2016-10-25,127453,4158,0.3582211342433678,0.2950937950937951,0.1151996151996152,479,0.5467880234805581,0.4363256784968685,1.4785999765199505,0.1766654374615294
